ID,Name,Age,Humor,Empathy,Attractiveness,Intelligence,Charisma
1,Matthew Wong,25,1.4,1.58,0.93,0.04,0.19
2,Nathaniel Golden,39,1.75,0.5,1.7,1.17,0.16
3,Dustin Moran,62,1.64,1.25,1.53,0.08,0.96
4,Jordan Powell,21,2.0,0.07,1.37,1.66,0.24
5,Paula Cumming-Riley,63,1.01,0.39,0.5,1.47,0.57
6,Kate Phillips,34,1.01,0.62,0.24,0.24,0.59
7,Georgina Thompson,27,0.47,1.51,1.4,0.21,0.2
8,Craig Cherry,35,1.8,0.86,1.63,1.0,0.15
9,Ann Grant,51,0.65,0.84,0.25,1.84,0.02
10,Ruth Atkins,47,0.92,1.85,0.75,1.94,0.17
11,Ms. Tara Smith,40,1.79,1.95,0.97,0.69,0.15
12,Charles Alvarez,57,1.21,0.04,1.06,1.33,0.91
13,Deborah Doyle,54,1.19,0.78,1.74,1.16,0.98
14,Rachael Mills,54,0.19,0.35,0.07,1.76,0.06
15,Mr. Tom Roberts,56,1.64,1.49,1.17,1.53,0.61
16,Sara Fisher,39,0.85,1.35,0.95,0.27,0.75
17,Edward Moore,45,0.33,0.39,0.34,0.24,0.04
18,Jody Leon,26,1.92,1.24,1.16,1.56,0.71
19,William Moore,33,1.67,1.41,1.07,1.24,0.25
20,Kelsey Johnson,27,1.06,0.82,0.4,0.48,0.44
21,Linda Roberts,40,1.06,1.25,0.62,1.43,0.13
22,Rebecca Ramos,43,1.69,0.38,1.1,0.94,0.36
23,Philippa Wilton,57,1.4,1.52,1.31,1.04,0.38
24,Kimberly Brown,32,1.38,1.65,0.09,0.65,0.11
25,William Kelley,46,0.36,1.73,1.5,0.95,0.8
26,Paul Tate,23,1.94,0.59,1.32,0.71,0.66
27,Molly Lane,60,0.36,0.06,1.7,1.33,0.29
28,Glenn Kemp-Allen,38,0.68,0.31,0.75,1.74,0.56
29,Abbie Holmes-Davies,21,1.96,0.05,1.18,0.98,0.03
30,Jamie Roberts,41,1.2,0.24,1.09,0.61,0.44
31,Daniel Cooper,24,0.81,1.53,1.53,0.09,0.81
32,Nicholas Becker,24,0.24,1.38,1.13,0.66,0.17
