ID,Name,Age,Humor,Empathy,Attractiveness,Intelligence,Charisma
1,Wyatt,51,1.09,0.13,1.60,1.79,0.38
2,Stephan,58,1.92,1.80,0.31,1.00,1.05
3,Terry,87,1.82,1.21,0.99,0.56,0.80
4,Zack,58,1.25,0.01,1.97,0.09,0.49
5,Brian,72,0.62,1.64,1.52,0.85,1.67
6,Henry,85,0.22,1.21,0.01,0.00,1.04
7,Daphne,48,1.77,0.26,1.52,0.16,0.18
8,Milissa,74,0.89,0.71,1.60,1.57,1.46
9,Richard,58,0.04,2.00,0.20,1.52,1.19
10,Cecille,39,0.44,0.60,1.91,0.92,1.35
11,Melva,33,1.83,1.84,1.64,1.82,0.11
12,Mallie,31,0.00,0.82,0.30,1.64,0.44
13,Charlott,33,1.73,0.96,0.74,0.37,0.34
14,Katherine,81,1.33,0.52,1.93,0.98,0.69
15,Lizette,29,0.76,1.47,0.62,0.05,1.41
16,Cesar,66,0.35,1.67,1.51,0.45,0.79
17,Savannah,46,0.10,1.93,0.84,1.80,0.08
18,Cruz,32,1.86,1.60,1.89,0.66,0.53
19,Taylor,61,0.45,0.08,0.68,1.69,1.38
20,Jacquline,84,0.70,0.95,1.76,1.70,1.84
21,Genaro,65,1.64,2.00,1.32,0.81,0.15
22,Thanh,80,0.35,1.39,1.52,0.22,1.78
23,Ofelia,27,0.15,0.18,1.10,1.03,0.98
24,Tinisha,78,0.22,0.51,0.60,1.57,1.72
25,Lorinda,72,1.04,1.68,1.51,1.53,0.34
26,Lai,59,0.26,0.07,0.73,0.40,2.00
27,Jeanie,66,0.12,0.02,1.96,0.87,1.55
28,Florentina,65,1.55,1.19,1.13,1.10,1.80
29,Lashawna,69,1.89,0.72,1.85,1.55,1.57
30,Onita,70,1.80,0.24,1.72,1.77,1.87
31,Hilary,47,1.25,0.64,0.43,0.71,1.49
32,Derek,46,0.04,1.97,1.76,0.90,1.89
33,Cary,87,0.02,0.11,0.76,0.83,0.52
34,Gaylene,84,1.81,1.50,0.46,0.20,0.17
35,Sylvie,85,0.72,0.15,1.36,1.36,0.70
36,Marcus,68,0.72,1.94,1.36,0.48,0.12
37,Luci,60,1.28,0.49,1.68,1.75,1.37
38,Phil,39,0.34,1.85,0.07,1.56,0.94
39,Ceelo,82,1.99,0.64,0.69,1.42,1.82
40,Henrietta,61,1.16,1.92,1.88,0.13,1.66
